timestamp,posX,posY,posZ,velX,velY,velZ,accX,accY,accZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,quatX,quatY,quatZ,quatW
11470,0,0,0,0,0,0,9.218005,-0.6273032,-0.6656118,29.5,-8.5,-6.875,0,0,0,0,0,0,1
11485,0,0,0,0,0,0,9.198852,-0.5746289,-0.6033604,21.75,-6.5,-5.875,0,0,0,0,0,0,1
11501,0,0,0,0,0,0,9.160542,-0.3878745,-0.5650518,16.625,-3.75,-4.625,0,0,0,0,0,0,1
11514,0,0,0,0,0,0,9.189274,-0.3256231,-0.5650518,19.5,-2.625,-5,0,0,0,0,0,0,1
11526,0,0,0,0,0,0,9.155754,-0.3447773,-0.6273032,23.75,-1.625,-5.875,0,0,0,0,0,0,1
11539,0,0,0,0,0,0,9.174909,-0.3687202,-0.7039204,25.625,-0.25,-6.125,0,0,0,0,0,0,1
11551,0,0,0,0,0,0,9.208428,-0.3304116,-0.7565947,24.125,0.25,-5.875,0,0,0,0,0,0,1
11563,0,0,0,0,0,0,9.218005,-0.2729487,-0.8236348,20.5,0.375,-5.125,0,0,0,0,0,0,1
11576,0,0,0,0,0,0,9.328143,-0.2729487,-0.9241948,16.625,0.625,-4.625,0,0,0,0,0,0,1
11589,0,0,0,0,0,0,9.462223,-0.225063,-1.019966,15.375,0.125,-4.75,0,0,0,0,0,0,1
11602,0,0,0,0,0,0,9.524474,-0.1819658,-1.053486,19.5,-0.875,-5.875,0,0,0,0,0,0,1
11614,0,0,0,0,0,0,9.581937,-0.1723887,-1.019966,25.25,-2.5,-6.875,0,0,0,0,0,0,1
11627,0,0,0,0,0,0,9.57236,-0.191543,-0.9912349,30.625,-4,-7,0,0,0,0,0,0,1
11639,0,0,0,0,0,0,9.553205,-0.3304116,-0.9864463,33,-4.625,-6.75,0,0,0,0,0,0,1
11651,0,0,0,0,0,0,9.543629,-0.4980117,-0.9912349,28.25,-4,-5.625,0,0,0,0,0,0,1
11664,0,0,0,0,0,0,9.562783,-0.4980117,-0.9481377,23.25,-3,-5.125,0,0,0,0,0,0,1
11677,0,0,0,0,0,0,9.553205,-0.4357603,-0.9050406,21.75,-2.125,-5.25,0,0,0,0,0,0,1
11690,0,0,0,0,0,0,9.443069,-0.3878745,-0.8954634,16.625,-1.375,-4.625,0,0,0,0,0,0,1
11702,0,0,0,0,0,0,9.347297,-0.3447773,-0.9146177,14.125,-1.25,-4,0,0,0,0,0,0,1
11715,0,0,0,0,0,0,9.347297,-0.4118174,-0.933772,14.375,-1.375,-3.5,0,0,0,0,0,0,1
11727,0,0,0,0,0,0,9.390394,-0.4644917,-0.9194063,15.375,-1.5,-3.125,0,0,0,0,0,0,1
11739,0,0,0,0,0,0,9.356874,-0.450126,-0.9289834,17.25,-1.75,-3.125,0,0,0,0,0,0,1
11752,0,0,0,0,0,0,9.332932,-0.4884346,-1.005601,17,-2.25,-2.75,0,0,0,0,0,0,1
